Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;16;0.016220553;0.0013305526;0.0014494471;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:15:14.894344960;2281.5474;64234.33;61952.78;37085.707;365.3399504781421;8.869473;2423.6565;142.10913;-1.0;37087.50605364852;0.5986415025338111;1.0
;;17;0.017209357;0.0013293568;0.0014406424;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:23:24.889191168;1983.1746;28651.654;26668.48;16542.041;227.4857411202186;5.883439;2666.1956;683.021;-1.0;16543.60558531341;0.6203430152197509;1.0
;;18;0.018182872;0.0012628715;0.0013571288;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:19:04.906657536;2150.1855;59022.59;56872.406;34076.707;339.97415044398906;8.772991;2718.8645;568.67896;-1.0;34078.40369534597;0.5992080508347749;1.0
;;19;0.018839857;0.0012598559;0.0013501439;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:07:54.887650048;1965.8883;35975.754;34009.867;25438.7;310.83420850409834;5.5985622;1923.7036;-42.184692;-1.0;25440.598300849302;0.7480358026861025;1.0
;;20;0.01991224;0.0013322383;0.0014277622;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:54:44.910203648;1632.8943;28014.344;26381.45;16174.089;204.1117657103825;6.9215426;1569.3219;-63.572388;-1.0;16175.376768808244;0.6131345035174176;1.0
;;21;0.021044577;0.0012645759;0.001345424;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:56:54.898487808;1197.6506;32469.639;31271.988;22959.502;230.48796106557376;7.3589063;1251.4341;53.783447;-1.0;22960.658629494847;0.7342244574599548;1.0
;;22;0.022271352;0.0013513528;0.0014386475;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:36:54.902464896;970.4752;24217.768;23247.293;13982.134;146.30464480874318;8.84285;1143.6168;173.1416;-1.0;13982.899164661549;0.6014850496123552;1.0
;;23;0.023504628;0.0012546275;0.0013253726;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:06:44.893499776;831.45245;32032.8;31201.348;22650.61;190.74829234972677;8.769076;1023.26996;191.8175;-1.0;22651.412691287806;0.725975459164196;1.0
;;24;0.024380632;0.0012606326;0.001329368;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:01:44.887036928;1017.2435;27578.602;26561.357;19501.016;195.76859204234972;7.081197;1043.7734;26.529907;-1.0;19501.99798332546;0.7342244477032751;1.0
;;25;0.025869396;0.0014093947;0.001490606;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:04:14.887285504;959.5991;19157.088;18197.488;11060.35;129.392321977459;7.963952;1055.4136;95.81445;-1.0;11061.10656186743;0.6078369932659538;1.0
