Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;16;0.12889628;0.0042862818;0.0044337213;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:53:00;20.33292;248.06163;227.72871;175.40607096354168;6.429834251603917;4.418452739715576;29.33509;9.002171;-1.0;175.52388013991177;0.7707586674739286;1.0
;;17;0.13754342;0.0042134225;0.0043465793;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:12:00;18.521486;251.06905;232.54756;177.5326171875;6.173828925461066;5.180434703826904;30.21163;11.690144;-1.0;177.6399344996622;0.7638864636665336;1.0
;;18;0.14656305;0.004673049;0.004826948;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:19:00;15.536845;315.91586;300.37903;182.39410807291668;5.178948674436475;7.976953029632568;24.469278;8.932433;-1.0;182.46761950846857;0.6074579191790054;1.0
;;19;0.15700583;0.0056158304;0.0058241636;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:57:00;21.42732;201.08716;179.65984;142.190087890625;5.942869308142062;3.9579269886016846;20.44247;-0.98484993;-1.0;142.31422553616108;0.7921315573413139;1.0
;;20;0.16852538;0.0056953877;0.0058946162;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:25:00;6.079721;278.14725;272.06754;160.58839518229166;3.0398605596823773;11.75699520111084;22.698046;16.618324;0.7181362509727478;160.6171641495584;0.5903576989190743;1.0
;;21;0.1810153;0.0065952986;0.0068446994;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:39:00;9.169084;159.80403;150.63495;112.99851888020834;3.4655880243692545;5.866278171539307;14.58792;5.4188366;-1.0;113.05165000775288;0.750500803170427;1.0
;;22;0.19544199;0.007581994;0.007888004;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:12:00;9.133312;139.283;130.14969;98.48795572916667;3.229113420599266;5.490762233734131;19.071945;9.938633;0.41929158568382263;98.54087779796458;0.757134947970794;1.0
;;23;0.21094732;0.0076173246;0.007902682;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:15:00;10.208878;207.58052;197.37164;119.84666341145834;3.4029593045594257;7.976953506469727;19.810587;9.601709;-1.0;119.89496596141089;0.6074579108665163;1.0
;;24;0.22744137;0.008591369;0.008928627;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:18:00;16.056608;183.64745;167.59084;106.02890625;4.014151832767057;5.334437847137451;16.002474;-0.05413437;-1.0;106.1048649945317;0.6331185391661662;1.0
;;25;0.24548428;0.00911428;0.009465709;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:42:00;6.6539717;115.969215;109.31525;82.00262044270833;2.514964776568812;5.100627422332764;10.827001;4.173029;-1.0;82.04117751043233;0.7505007771159151;1.0
;;26;0.26449627;0.00954628;0.009903729;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:31:00;5.1330733;104.37248;99.23941;73.802490234375;2.0955682792813293;5.41127347946167;12.559343;7.42627;0.40493565797805786;73.83223531228177;0.7439809951953438;1.0
;;27;0.28596622;0.011566222;0.012053788;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:24:00;7.501613;91.51968;84.01807;64.7141845703125;2.37221829684634;4.418452262878418;7.025369;-0.47624397;-1.0;64.75764900186205;0.770758620993982;1.0
;;28;0.30958077;0.011560768;0.012009233;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:10:00;5.4422655;142.27637;136.8341;82.14330240885417;2.0569829782504656;8.97795581817627;11.216809;5.774544;0.37887921929359436;82.16905323541997;0.6005012592986814;1.0
;;29;0.33518755;0.013597548;0.014172465;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:47:00;7.631923;77.59122;69.9593;54.865275065104164;2.2031464534427796;4.498987197875977;7.404971;-0.22695208;-1.0;54.90949154986648;0.7848776897865416;1.0
;;30;0.36484194;0.015481949;0.016168058;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:37:00;3.8961117;101.8555;97.95939;58.806298828125;1.4725918987105466;7.806177139282227;5.353401;1.4572895;-1.0;58.82473381803681;0.6005012340208103;1.0
;;31;0.3960386;0.015028596;0.015621394;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:41:00;1.670392;67.929276;66.25888;48.03324788411458;0.9644012395371564;8.947114944458008;3.9460988;2.2757068;0.3072948157787323;48.04292842914156;0.7250790834835721;1.0
;;32;0.42906696;0.01740697;0.018143028;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:40:00;1.021346;62.3021;61.280754;44.05423583984375;0.7222006084581774;10.955972671508789;3.7484667;2.7271209;0.48756352066993713;44.06015511946628;0.7189884617806878;1.0
;;33;0.46569785;0.01848784;0.019252151;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:55:00;2.3308566;28.436451;26.105595;28.4364501953125;1.0423907539420068;2.770037889480591;1.5339164;-0.7969402;-1.0;28.455549163465324;1.0900172764233484;1.0
;;34;0.50482285;0.019872844;0.020687163;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:09:00;3.3618429;51.26811;47.906265;36.2520263671875;1.1885910225059078;5.490761756896973;3.2973263;-0.064516544;-1.0;36.27150623211062;0.757134918286207;1.0
;;35;0.54894257;0.023432553;0.024477422;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:15:00;0.36959562;22.545332;22.175735;22.545332845052084;0.3695956204106899;7.682212829589844;1.4967855;1.1271899;0.3904859125614166;22.548362113839023;1.0168033497986693;1.0
