Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2022-04-14-2302;Mean;0;0.0533278;0.0038178004;0.004112199;2022-04-15 07:41:44.676936731;2022-04-15 08:41:44.676936731;2022-04-15 09:11:44.676936731;2022-04-15 10:11:44.676936731;;;;;;;;;;;;;
2022-04-15-0702;Resampled to 1min;1;0.05592919;0.00395919;0.004260808;2022-04-15 07:32:34.412256558;2022-04-15 08:32:34.412256558;2022-04-15 09:02:34.412256558;2022-04-15 10:02:34.412256558;;;;;;;;;;;;;
;;2;0.058855973;0.003625974;0.0038640276;2022-04-15 07:22:59.471710293;2022-04-15 08:22:59.471710293;2022-04-15 08:52:59.471710293;2022-04-15 09:52:59.471710293;;;;;;;;;;;;;
;;3;0.061322063;0.0035320632;0.00374794;2022-04-15 07:15:27.335424812;2022-04-15 08:15:27.335424812;2022-04-15 08:45:27.335424812;2022-04-15 09:45:27.335424812;;;;;;;;;;;;;
;;4;0.0641972;0.0034471974;0.003642805;2022-04-15 07:07:13.459471698;2022-04-15 08:07:13.459471698;2022-04-15 08:37:13.459471698;2022-04-15 09:37:13.459471698;;;;;;;;;;;;;
;;5;0.06808804;0.0035380423;0.0037319586;2022-04-15 06:56:55.595128969;2022-04-15 07:56:55.595128969;2022-04-15 08:26:55.595128969;2022-04-15 09:26:55.595128969;;;;;;87.53833750170884;;;;;;;
;;6;0.07228248;0.0033724755;0.0035375208;2022-04-15 06:46:46.222835931;2022-04-15 07:46:46.222835931;2022-04-15 08:16:46.222835931;2022-04-15 09:16:46.222835931;;;;;;57.33642067855305;;;;;;;
;;7;0.07626858;0.0033385828;0.0034914166;2022-04-15 06:37:54.347955768;2022-04-15 07:37:54.347955768;2022-04-15 08:07:54.347955768;2022-04-15 09:07:54.347955768;;;;;;39.18647056651955;;;;;;;
;;8;0.08004721;0.0032272115;0.0033627898;2022-04-15 06:30:07.295026543;2022-04-15 07:30:07.295026543;2022-04-15 08:00:07.295026543;2022-04-15 09:00:07.295026543;;;;;;43.55255908410198;;;;;;;
;;9;0.08388939;0.0029993877;0.00311061;2022-04-15 06:22:45.125752477;2022-04-15 07:22:45.125752477;2022-04-15 07:52:45.125752477;2022-04-15 08:52:45.125752477;;;;;;22.25565765747505;;;;;;;
;;10;0.08914359;0.0021435916;0.0021964088;2022-04-15 06:13:27.377276045;2022-04-15 07:13:27.377276045;2022-04-15 07:43:27.377276045;2022-04-15 08:43:27.377276045;;;;;;28.262079926223027;;;;;;;
;;11;0.094331026;0.0029910281;0.0030889735;2022-04-15 06:05:03.089210204;2022-04-15 07:05:03.089210204;2022-04-15 07:35:03.089210204;2022-04-15 08:35:03.089210204;;;;;;20.477824481168717;;;;;;;
;;12;0.10034606;0.002926059;0.0030139387;2022-04-15 05:56:08.037439271;2022-04-15 06:56:08.037439271;2022-04-15 07:26:08.037439271;2022-04-15 08:26:08.037439271;;;;;;14.431914319246323;;;;;;;
;;13;0.1064537;0.0030937046;0.003186293;2022-04-15 05:47:51.840364467;2022-04-15 06:47:51.840364467;2022-04-15 07:17:51.840364467;2022-04-15 08:17:51.840364467;;;;;;14.55100037245244;;;;;;;
;;14;0.11339084;0.0037508383;0.0038791597;2022-04-15 05:39:17.626593689;2022-04-15 06:39:17.626593689;2022-04-15 07:09:17.626593689;2022-04-15 08:09:17.626593689;;;;;;13.295250804093921;;;;;;;
;;15;0.1208843;0.003614299;0.0037257;2022-04-15 05:30:52.692380801;2022-04-15 06:30:52.692380801;2022-04-15 07:00:52.692380801;2022-04-15 08:00:52.692380801;2022-04-15 07:02:00;63.073974609375;145.55532836914062;82.48135375976562;145.555322265625;12.369823707575756;0.9128977060317993;72.77766418457031;9.703689575195312;-1.0;146.07999308052575;1.771066870531695;1.0
;;16;0.12889628;0.0042862818;0.0044337213;2022-04-15 05:22:42.301235932;2022-04-15 06:22:42.301235932;2022-04-15 06:52:42.301235932;2022-04-15 07:52:42.301235932;2022-04-15 06:57:00;80.62002563476562;248.06163024902344;167.4416046142578;175.40607096354168;12.90953701019101;1.9720240831375122;74.41848754882812;-6.2015380859375;-1.0;175.88048748137047;1.050398960799221;1.0
