;Plot_period;Averaging;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
0;2022-04-14-2302;Mean;0.0533278;0.0038178004;0.004112199;2022-04-15 07:41:44.676936731;2022-04-15 08:41:44.676936731;2022-04-15 09:11:44.676936731;2022-04-15 10:11:44.676936731;;;;;;;;;;;;;
1;2022-04-15-0702;Resampled to 1min;0.05592919;0.00395919;0.004260808;2022-04-15 07:32:34.412256558;2022-04-15 08:32:34.412256558;2022-04-15 09:02:34.412256558;2022-04-15 10:02:34.412256558;;;;;;;;;;;;;
2;;;0.058855973;0.003625974;0.0038640276;2022-04-15 07:22:59.471710293;2022-04-15 08:22:59.471710293;2022-04-15 08:52:59.471710293;2022-04-15 09:52:59.471710293;;;;;;;;;;;;;
3;;;0.061322063;0.0035320632;0.00374794;2022-04-15 07:15:27.335424812;2022-04-15 08:15:27.335424812;2022-04-15 08:45:27.335424812;2022-04-15 09:45:27.335424812;;;;;;;;;;;;;
4;;;0.0641972;0.0034471974;0.003642805;2022-04-15 07:07:13.459471698;2022-04-15 08:07:13.459471698;2022-04-15 08:37:13.459471698;2022-04-15 09:37:13.459471698;;;;;;;;;;;;;
5;;;0.06808804;0.0035380423;0.0037319586;2022-04-15 06:56:55.595128969;2022-04-15 07:56:55.595128969;2022-04-15 08:26:55.595128969;2022-04-15 09:26:55.595128969;;;;;;87.53833750170884;;;;;;;
6;;;0.07228248;0.0033724755;0.0035375208;2022-04-15 06:46:46.222835931;2022-04-15 07:46:46.222835931;2022-04-15 08:16:46.222835931;2022-04-15 09:16:46.222835931;;;;;;57.33642067855305;;;;;;;
7;;;0.07626858;0.0033385828;0.0034914166;2022-04-15 06:37:54.347955768;2022-04-15 07:37:54.347955768;2022-04-15 08:07:54.347955768;2022-04-15 09:07:54.347955768;;;;;;39.18647056651955;;;;;;;
8;;;0.08004721;0.0032272115;0.0033627898;2022-04-15 06:30:07.295026543;2022-04-15 07:30:07.295026543;2022-04-15 08:00:07.295026543;2022-04-15 09:00:07.295026543;;;;;;43.55255908410198;;;;;;;
9;;;0.08388939;0.0029993877;0.00311061;2022-04-15 06:22:45.125752477;2022-04-15 07:22:45.125752477;2022-04-15 07:52:45.125752477;2022-04-15 08:52:45.125752477;;;;;;22.25565765747505;;;;;;;
10;;;0.08914359;0.0021435916;0.0021964088;2022-04-15 06:13:27.377276045;2022-04-15 07:13:27.377276045;2022-04-15 07:43:27.377276045;2022-04-15 08:43:27.377276045;;;;;;28.262079926223027;;;;;;;
11;;;0.094331026;0.0029910281;0.0030889735;2022-04-15 06:05:03.089210204;2022-04-15 07:05:03.089210204;2022-04-15 07:35:03.089210204;2022-04-15 08:35:03.089210204;;;;;;20.47782448116872;;;;;;;
12;;;0.10034606;0.002926059;0.0030139387;2022-04-15 05:56:08.037439271;2022-04-15 06:56:08.037439271;2022-04-15 07:26:08.037439271;2022-04-15 08:26:08.037439271;;;;;;14.431914319246324;;;;;;;
13;;;0.1064537;0.0030937046;0.003186293;2022-04-15 05:47:51.840364467;2022-04-15 06:47:51.840364467;2022-04-15 07:17:51.840364467;2022-04-15 08:17:51.840364467;;;;;;14.55100037245244;;;;;;;
14;;;0.11339084;0.0037508383;0.0038791597;2022-04-15 05:39:17.626593689;2022-04-15 06:39:17.626593689;2022-04-15 07:09:17.626593689;2022-04-15 08:09:17.626593689;;;;;;13.29525080409392;;;;;;;
15;;;0.26449627;0.00954628;0.009903729;2022-04-15 04:07:01.995739856;2022-04-15 05:07:01.995739856;2022-04-15 05:37:01.995739856;2022-04-15 06:37:01.995739856;2022-04-15 06:33:00;36.479270935058594;328.3134460449219;291.83416748046875;134.03340657552084;5.767879326931283;6.704653263092041;48.33503341674805;11.855762481689451;-1.0;134.15745417295648;0.4597044113483904;1.0
16;;;0.28596622;0.011566222;0.012053788;2022-04-15 04:00:20.240337901;2022-04-15 05:00:20.240337901;2022-04-15 05:30:20.240337901;2022-04-15 06:30:20.240337901;2022-04-15 06:26:00;31.02776527404785;272.4389038085937;241.4111328125;111.22271321614583;4.845722342656701;6.3791351318359375;41.62261199951172;10.594846725463867;-1.0;111.32822175972784;0.4611561217692252;1.0
17;;;0.36484194;0.015481949;0.016168058;2022-04-15 03:41:02.606275992;2022-04-15 04:41:02.606275992;2022-04-15 05:11:02.606275992;2022-04-15 06:11:02.606275992;2022-04-15 06:09:00;25.48030662536621;203.84243774414065;178.3621368408203;83.21832682291667;3.798379463967233;6.792126655578613;45.86455154418945;20.38424491882324;-1.0;83.30496747348299;0.4670552223077967;1.0
18;;;0.3960386;0.015028596;0.015621394;2022-04-15 03:35:03.384648076;2022-04-15 04:35:03.384648076;2022-04-15 05:05:03.384648076;2022-04-15 06:05:03.384648076;2022-04-15 06:02:00;28.613527297973636;210.22183227539065;181.6083068847656;85.82269694010417;4.0876466188209495;6.932467937469482;42.04436492919922;13.430837631225586;-1.0;85.91998699344248;0.4731060405070598;1.0
19;;;0.42906696;0.01740697;0.018143028;2022-04-15 03:29:26.625491084;2022-04-15 04:29:26.625491084;2022-04-15 04:59:26.625491084;2022-04-15 05:59:26.625491084;2022-04-15 05:58:00;19.131532669067383;241.66148376464844;222.5299530029297;85.44024251302083;3.103544787262424;10.706207275390623;30.20768547058105;11.076152801513672;-1.0;85.4965907561837;0.3842026190292599;1.0
20;;;0.46569785;0.01848784;0.019252151;2022-04-15 03:23:55.883926686;2022-04-15 04:23:55.883926686;2022-04-15 04:53:55.883926686;2022-04-15 05:53:55.883926686;2022-04-15 05:53:00;11.38924789428711;142.3656005859375;130.97634887695312;63.66783447265625;2.324820530039266;7.153011798858643;24.2021541595459;12.812906265258787;0.6997513175010681;63.71026555379006;0.4864257257136036;1.0
21;;;0.54894257;0.023432553;0.024477422;2022-04-15 03:13:31.502138711;2022-04-15 04:13:31.502138711;2022-04-15 04:43:31.502138711;2022-04-15 05:43:31.502138711;2022-04-15 05:36:00;14.25100326538086;135.00949096679688;120.75848388671876;55.11739501953125;2.3118178816586568;6.87672758102417;18.751319885253903;4.500316619873047;-1.0;55.16585661128634;0.4568279994558096;1.0
22;;;0.7077108;0.030980825;0.032399178;2022-04-15 02:59:02.553177707;2022-04-15 03:59:02.553177707;2022-04-15 04:29:02.553177707;2022-04-15 05:29:02.553177707;2022-04-15 05:24:00;7.309244155883789;101.20491790771484;93.89567565917967;41.31673583984375;1.4334607116910452;7.473535060882568;13.493989944458008;6.184745788574219;-1.0;41.34159491446104;0.4402928529373577;1.0
23;;;0.91183454;0.036604524;0.03813547;2022-04-15 02:46:19.114791074;2022-04-15 03:46:19.114791074;2022-04-15 04:16:19.114791074;2022-04-15 05:16:19.114791074;2022-04-15 05:12:00;5.967545986175537;85.93266296386719;79.96511840820312;35.08186442057292;1.1935092329331067;9.024550437927246;10.98028564453125;5.012739658355713;-1.0;35.1021605533414;0.4389684058760861;1.0
24;;;1.0807327;0.046542645;0.04863739;2022-04-15 02:38:38.834926298;2022-04-15 03:38:38.834926298;2022-04-15 04:08:38.834926298;2022-04-15 05:08:38.834926298;2022-04-15 05:08:00;2.995198965072632;67.39198303222656;64.39678192138672;27.51266072591146;0.7487997782958369;11.88352394104004;6.739197731018066;3.7439987659454346;0.6909024715423584;27.522848713879288;0.4273947842219537;1.0
25;;;1.2804648;0.05469477;0.057135224;2022-04-15 02:31:36.950067671;2022-04-15 03:31:36.950067671;2022-04-15 04:01:36.950067671;2022-04-15 05:01:36.950067671;2022-04-15 04:54:00;1.7662068605422974;48.16927719116211;46.40306854248047;21.54195556640625;0.5325313818361704;11.1636323928833;7.385955810546875;5.619749069213867;1.3519970178604126;21.548536824983305;0.464377410844206;1.0
26;;;1.3994213;0.06182134;0.06467867;2022-04-15 02:28:09.845999316;2022-04-15 03:28:09.845999316;2022-04-15 03:58:09.845999316;2022-04-15 04:58:09.845999316;2022-04-15 04:43:00;2.119567394256592;42.3913459777832;40.27177810668945;18.95798746744792;0.5472699430225834;8.784662246704102;7.913052082061768;5.793484687805176;1.2637585401535034;18.965884983476208;0.4709472954790101;1.0
27;;;1.5273871;0.06328714;0.06602287;2022-04-15 02:24:54.673617611;2022-04-15 03:24:54.673617611;2022-04-15 03:54:54.673617611;2022-04-15 04:54:54.673617611;2022-04-15 04:52:00;1.3985377550125122;50.34735870361328;48.948822021484375;20.5542236328125;0.442256479172703;15.521490097045898;6.29341983795166;4.8948822021484375;1.552148938179016;20.55898100444276;0.4200097194457328;1.0
28;;;1.6637475;0.070337534;0.07344246;2022-04-15 02:21:52.024629477;2022-04-15 03:21:52.024629477;2022-04-15 03:51:52.024629477;2022-04-15 04:51:52.024629477;2022-04-15 04:51:00;0.7464123964309692;44.78474044799805;44.03832626342773;18.283292643229167;0.3047215673038624;19.502086639404297;5.224885940551758;4.478473663330078;1.9832628965377808;18.285831813498064;0.4152254039837067;1.0
29;;;1.9684402;0.08172023;0.085259795;2022-04-15 02:16:14.891250191;2022-04-15 03:16:14.891250191;2022-04-15 03:46:14.891250191;2022-04-15 04:46:14.891250191;2022-04-15 04:46:00;0.8547407984733582;32.05278015136719;31.19804000854492;14.334439086914063;0.3021965119190723;12.50693416595459;5.342129707336426;4.487389087677002;1.7989425659179688;14.3376241640052;0.4595681062040508;1.0
30;;;2.148588;0.09488797;0.09927201;2022-04-15 02:13:30.278559704;2022-04-15 03:13:30.278559704;2022-04-15 03:43:30.278559704;2022-04-15 04:43:30.278559704;2022-04-15 04:40:00;0.8465469479560852;33.86187744140625;33.01533126831055;13.82405293782552;0.2821823057780423;12.1622953414917;3.48024845123291;2.6337015628814697;0.970211625099182;13.826932649054765;0.4188033897550625;1.0
31;;;2.34077;0.09291005;0.09675002;2022-04-15 02:10:56.087308226;2022-04-15 03:10:56.087308226;2022-04-15 03:40:56.087308226;2022-04-15 04:40:56.087308226;2022-04-15 04:36:00;0.281294971704483;28.129499435424805;27.848203659057617;12.57989501953125;0.1624057370414252;22.522092819213867;2.906714916229248;2.625419855117798;2.1232950687408447;12.58094330031938;0.4517685756089131;1.0
32;2022-04-14-2302;Mean;7.197842;0.15284204;0.15615797;2022-04-15 01:45:44.323886883;2022-04-15 02:45:44.323886883;2022-04-15 03:15:44.323886883;2022-04-15 04:15:44.323886883;2022-04-15 03:45:00;0.021235209;1.6988168;1.6775815;0.6006224552790324;0.0086692381746878;22.306798934936523;0.36807692;0.34684172;4.6119537353515625;0.6006850168565407;0.3580660608274586;1.0
33;2022-04-15-0702;Resampled to 1min;7.617287;0.26328707;0.27271318;2022-04-15 01:44:48.455034963;2022-04-15 02:44:48.455034963;2022-04-15 03:14:48.455034963;2022-04-15 04:14:48.455034963;2022-04-15 04:13:00;0.01224194;0.61209697;0.599855;0.2737380862236023;0.0049977509828248;13.835861206054688;0.1673065;0.15506455;3.5766172409057617;0.2737837054396164;0.4564164720128614;1.0
34;;;8.181611;0.2916112;0.30238914;2022-04-15 01:43:40.205396590;2022-04-15 02:43:40.205396590;2022-04-15 03:13:40.205396590;2022-04-15 04:13:40.205396590;2022-04-15 03:52:00;0.007250223;0.54376674;0.5365165;0.2431798775990804;0.0036251114474402;19.611825942993164;0.16675514;0.15950492;5.8305439949035645;0.2432068960825537;0.4533074037877346;1.0
35;;;8.8270645;0.3430643;0.3569355;2022-04-15 01:42:30.348883377;2022-04-15 02:42:30.348883377;2022-04-15 03:12:30.348883377;2022-04-15 04:12:30.348883377;2022-04-15 04:05:00;0.004686914;0.56242967;0.5577428;0.2296109398206075;0.0027059909947089;27.07201194763184;0.12654667;0.12185975;5.914892673492432;0.2296268844725418;0.4117075020540364;1.0
36;;;12.110905;0.3109045;0.3190956;2022-04-15 01:38:06.681809471;2022-04-15 02:38:06.681809471;2022-04-15 03:08:06.681809471;2022-04-15 04:08:06.681809471;2022-04-15 03:37:00;0.0;0.3919263;0.3919263;0.1959631443023681;0.0;inf;0.08328433;0.08328433;inf;0.1959631443023681;0.5;1.0
37;;;13.0400305;0.6100302;0.6399698;2022-04-15 01:37:10.942215312;2022-04-15 02:37:10.942215312;2022-04-15 03:07:10.942215312;2022-04-15 04:07:10.942215312;2022-04-15 03:37:00;0.0;0.3041825;0.3041825;0.1241819858551025;0.0;inf;0.04900718;0.04900718;inf;0.1241819858551025;0.4082482917299871;1.0
38;;;15.121061;0.51106167;0.5289383;2022-04-15 01:35:25.423134646;2022-04-15 02:35:25.423134646;2022-04-15 03:05:25.423134646;2022-04-15 04:05:25.423134646;2022-04-15 03:40:00;0.0;0.30123386;0.30123386;0.1347158749898274;0.0;inf;0.03514395;0.03514395;inf;0.1347158749898274;0.4472135899408747;1.0
39;;;16.224457;0.57445717;0.5955429;2022-04-15 01:34:37.967704569;2022-04-15 02:34:37.967704569;2022-04-15 03:04:37.967704569;2022-04-15 04:04:37.967704569;2022-04-15 03:36:00;0.0;0.21340847;0.21340847;0.1067042350769043;0.0;inf;0.024008453;0.024008453;inf;0.1067042350769043;0.5;1.0
40;;;17.496399;0.67639923;0.70359993;2022-04-15 01:33:48.980947334;2022-04-15 02:33:48.980947334;2022-04-15 03:03:48.980947334;2022-04-15 04:03:48.980947334;2022-04-15 03:28:00;0.0;0.18025814;0.18025814;0.0901290675004323;0.0;inf;0.028540872;0.028540872;inf;0.0901290675004323;0.4999999862223871;1.0
41;;;18.911108;0.71110725;0.7388935;2022-04-15 01:33:00.463102255;2022-04-15 02:33:00.463102255;2022-04-15 03:03:00.463102255;2022-04-15 04:03:00.463102255;2022-04-15 03:25:00;0.0;0.171556;0.171556;0.085777997970581;0.0;inf;0.020729683;0.020729683;inf;0.085777997970581;0.5;1.0
42;;;101.19973;3.5697327;3.700264;2022-04-15 01:21:39.331584951;2022-04-15 02:21:39.331584951;2022-04-15 02:51:39.331584951;2022-04-15 03:51:39.331584951;2022-04-15 02:52:00;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;1.0
