Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2022-04-14-2302;Mean;0;7.197842;0.15284204;0.15615797;2022-04-15 01:45:44.323886883;2022-04-15 02:45:44.323886883;2022-04-15 03:15:44.323886883;2022-04-15 04:15:44.323886883;2022-04-15 03:45:00;0.021235209;1.6988168;1.6775815;0.6006224552790324;0.008669238174687852;22.306798934936523;0.36807692;0.34684172;4.6119537353515625;0.6006850168565407;0.3580660608274586;1.0
2022-04-15-0702;Resampled to 1min;1;7.617287;0.26328707;0.27271318;2022-04-15 01:44:48.455034963;2022-04-15 02:44:48.455034963;2022-04-15 03:14:48.455034963;2022-04-15 04:14:48.455034963;2022-04-15 04:13:00;0.01224194;0.61209697;0.599855;0.2737380862236023;0.004997750982824895;13.835861206054688;0.1673065;0.15506455;3.5766172409057617;0.27378370543961644;0.4564164720128614;1.0
;;2;8.181611;0.2916112;0.30238914;2022-04-15 01:43:40.205396590;2022-04-15 02:43:40.205396590;2022-04-15 03:13:40.205396590;2022-04-15 04:13:40.205396590;2022-04-15 03:52:00;0.007250223;0.54376674;0.5365165;0.2431798775990804;0.003625111447440253;19.611825942993164;0.16675514;0.15950492;5.8305439949035645;0.24320689608255375;0.45330740378773465;1.0
;;3;8.8270645;0.3430643;0.3569355;2022-04-15 01:42:30.348883377;2022-04-15 02:42:30.348883377;2022-04-15 03:12:30.348883377;2022-04-15 04:12:30.348883377;2022-04-15 04:05:00;0.004686914;0.56242967;0.5577428;0.2296109398206075;0.0027059909947089278;27.072011947631836;0.12654667;0.12185975;5.914892673492432;0.22962688447254187;0.41170750205403644;1.0
;;4;9.409726;0.22572613;0.23127365;2022-04-15 01:41:33.592520021;2022-04-15 02:41:33.592520021;2022-04-15 03:11:33.592520021;2022-04-15 04:11:33.592520021;2022-04-15 03:52:00;0.0;0.30646834;0.30646834;0.21670583883921304;0.0;inf;0.045970254;0.045970254;inf;0.21670583883921304;0.7071067778584798;1.0
;;5;10.669771;0.06977081;0.07022953;2022-04-15 01:39:47.237549088;2022-04-15 02:39:47.237549088;2022-04-15 03:09:47.237549088;2022-04-15 04:09:47.237549088;2022-04-15 03:38:00;0.0;3.9032004;3.9032004;1.9516002337137859;0.0;inf;0.40658337;0.40658337;inf;1.9516002337137859;0.5000000101804739;1.0
;;6;10.859337;0.11933708;0.12066269;2022-04-15 01:39:32.868951211;2022-04-15 02:39:32.868951211;2022-04-15 03:09:32.868951211;2022-04-15 04:09:32.868951211;2022-04-15 03:32:00;0.020041686;0.9018759;0.8818342;0.5206983089447021;0.010020843479368423;11.661087036132812;0.3106461;0.2906044;3.842857599258423;0.520794725627968;0.590581223015879;1.0
;;7;11.163466;0.18346691;0.18653297;2022-04-15 01:39:10.590284982;2022-04-15 02:39:10.590284982;2022-04-15 03:09:10.590284982;2022-04-15 04:09:10.590284982;2022-04-15 03:32:00;0.00293262;0.7038288;0.7008962;0.3519144058227539;0.002932620048522949;30.854768753051758;0.17888981;0.17595719;7.74596643447876;0.3519266248608237;0.5021094751183497;1.0
;;8;11.572813;0.22281265;0.22718716;2022-04-15 01:38:42.010124178;2022-04-15 02:38:42.010124178;2022-04-15 03:08:42.010124178;2022-04-15 04:08:42.010124178;2022-04-15 03:32:00;0.0022778006;0.4100041;0.40772632;0.2367159922917684;0.0022778006063567265;23.108802795410156;0.10933445;0.10705665;6.067675590515137;0.2367269511109347;0.5806025779222816;1.0
;;9;12.110905;0.3109045;0.3190956;2022-04-15 01:38:06.681809471;2022-04-15 02:38:06.681809471;2022-04-15 03:08:06.681809471;2022-04-15 04:08:06.681809471;2022-04-15 03:37:00;0.0;0.3919263;0.3919263;0.19596314430236816;0.0;inf;0.08328433;0.08328433;inf;0.19596314430236816;0.5;1.0
;;10;13.0400305;0.6100302;0.6399698;2022-04-15 01:37:10.942215312;2022-04-15 02:37:10.942215312;2022-04-15 03:07:10.942215312;2022-04-15 04:07:10.942215312;2022-04-15 03:37:00;0.0;0.3041825;0.3041825;0.12418198585510254;0.0;inf;0.04900718;0.04900718;inf;0.12418198585510254;0.40824829172998717;1.0
;;11;14.137355;0.45735455;0.47264576;2022-04-15 01:36:12.373296238;2022-04-15 02:36:12.373296238;2022-04-15 03:06:12.373296238;2022-04-15 04:06:12.373296238;2022-04-15 03:30:00;0.0011103561;0.19986409;0.19875373;0.11539158225059509;0.0011103560527165731;23.10879898071289;0.034421038;0.03331068;3.872982978820801;0.1153969243301556;0.580602560979146;1.0
;;12;15.121061;0.51106167;0.5289383;2022-04-15 01:35:25.423134646;2022-04-15 02:35:25.423134646;2022-04-15 03:05:25.423134646;2022-04-15 04:05:25.423134646;2022-04-15 03:40:00;0.0;0.30123386;0.30123386;0.13471587498982748;0.0;inf;0.03514395;0.03514395;inf;0.13471587498982748;0.4472135899408747;1.0
;;13;16.224457;0.57445717;0.5955429;2022-04-15 01:34:37.967704569;2022-04-15 02:34:37.967704569;2022-04-15 03:04:37.967704569;2022-04-15 04:04:37.967704569;2022-04-15 03:36:00;0.0;0.21340847;0.21340847;0.1067042350769043;0.0;inf;0.024008453;0.024008453;inf;0.1067042350769043;0.5;1.0
;;14;17.496399;0.67639923;0.70359993;2022-04-15 01:33:48.980947334;2022-04-15 02:33:48.980947334;2022-04-15 03:03:48.980947334;2022-04-15 04:03:48.980947334;2022-04-15 03:28:00;0.0;0.18025814;0.18025814;0.09012906750043233;0.0;inf;0.028540872;0.028540872;inf;0.09012906750043233;0.4999999862223871;1.0
;;15;18.911108;0.71110725;0.7388935;2022-04-15 01:33:00.463102255;2022-04-15 02:33:00.463102255;2022-04-15 03:03:00.463102255;2022-04-15 04:03:00.463102255;2022-04-15 03:25:00;0.0;0.171556;0.171556;0.08577799797058105;0.0;inf;0.020729683;0.020729683;inf;0.08577799797058105;0.5;1.0
;;16;20.429537;0.7795372;0.81046295;2022-04-15 01:32:14.156490701;2022-04-15 02:32:14.156490701;2022-04-15 03:02:14.156490701;2022-04-15 04:02:14.156490701;2022-04-15 03:48:00;0.0;0.116038896;0.116038896;0.06699508925278981;0.0;inf;0.013537872;0.013537872;inf;0.06699508925278981;0.5773502806332865;1.0
;;17;22.160072;0.92007256;0.9599266;2022-04-15 01:31:27.359065169;2022-04-15 02:31:27.359065169;2022-04-15 03:01:27.359065169;2022-04-15 04:01:27.359065169;2022-04-15 03:28:00;0.0;0.09960953;0.09960953;0.05750959118207296;0.0;inf;0.009407567;0.009407567;inf;0.05750959118207296;0.5773502830288998;1.0
;;18;24.084867;0.96486664;1.0051327;2022-04-15 01:30:41.420221830;2022-04-15 02:30:41.420221830;2022-04-15 03:00:41.420221830;2022-04-15 04:00:41.420221830;2022-04-15 03:20:00;0.0;0.061979756;0.061979756;0.0438263068596522;0.0;inf;0.007230972;0.007230972;inf;0.0438263068596522;0.707106801612704;1.0
;;19;26.123705;1.0337048;1.0762959;2022-04-15 01:29:58.475984003;2022-04-15 02:29:58.475984003;2022-04-15 02:59:58.475984003;2022-04-15 03:59:58.475984003;2022-04-15 03:25:00;0.0;0.05851033;0.05851033;0.041373049219449363;0.0;inf;0.0058510327;0.0058510327;inf;0.041373049219449363;0.707106753977149;1.0
;;20;28.297846;1.0978451;1.1421547;2022-04-15 01:29:17.963949180;2022-04-15 02:29:17.963949180;2022-04-15 02:59:17.963949180;2022-04-15 03:59:17.963949180;2022-04-15 03:29:00;0.0009219922;0.05531953;0.05439754;0.039116814732551575;0.0006519468871466555;10.864341735839844;0.007375938;0.0064539458;1.288989782333374;0.0391222472458373;0.719191501405202;1.0
;;21;30.678932;1.2389317;1.291069;2022-04-15 01:28:38.705218777;2022-04-15 02:28:38.705218777;2022-04-15 02:58:38.705218777;2022-04-15 03:58:38.705218777;2022-04-15 03:34:00;0.0;0.049530942;0.049530942;0.03502366691827774;0.0;inf;0.004953094;0.004953094;inf;0.03502366691827774;0.707106820686528;1.0
;;22;33.39332;1.4233189;1.4866829;2022-04-15 01:27:59.257289917;2022-04-15 02:27:59.257289917;2022-04-15 02:57:59.257289917;2022-04-15 03:57:59.257289917;2022-04-15 03:27:00;0.0;0.021056531;0.021056531;0.02105653037627538;0.0;inf;0.0028075376;0.0028075376;inf;0.02105653037627538;0.9999999705135799;1.0
;;23;36.35866;1.4786606;1.5413399;2022-04-15 01:27:21.401522178;2022-04-15 02:27:21.401522178;2022-04-15 02:57:21.401522178;2022-04-15 03:57:21.401522178;2022-04-15 03:18:00;0.00033815953;0.020289572;0.019951412;0.02028957133491834;0.00033815952224863896;7.616867542266846;0.0013526381;0.0010144786;0.3872983455657959;0.020292389135270084;1.0170903529664648;1.0
;;24;39.505974;1.6059723;1.6740265;2022-04-15 01:26:46.066355773;2022-04-15 02:26:46.066355773;2022-04-15 02:56:46.066355773;2022-04-15 03:56:46.066355773;2022-04-15 03:47:00;0.00032323797;0.038788557;0.038465317;0.02742765098810196;0.0003232379754384359;15.362833023071289;0.002262666;0.0019394279;0.7745966911315918;0.02742955562005874;0.7130983836303417;1.0
;;25;43.042866;1.8628654;1.9471359;2022-04-15 01:26:11.170268128;2022-04-15 02:26:11.170268128;2022-04-15 02:56:11.170268128;2022-04-15 03:56:11.170268128;2022-04-15 03:18:00;0.0;0.016141893;0.016141893;0.016141893963019054;0.0;inf;0.0008070947;0.0008070947;inf;0.016141893963019054;1.0000000384639958;1.0
;;26;46.985737;1.9957352;2.0842628;2022-04-15 01:25:37.112486696;2022-04-15 02:25:37.112486696;2022-04-15 02:55:37.112486696;2022-04-15 03:55:37.112486696;2022-04-15 03:16:00;0.00025404026;0.0152424155;0.014988375;0.015242415169874826;0.0002540402528312471;7.616867542266846;0.0005080805;0.00025404026;0.12909945845603943;0.015244532024988133;1.0170903870774564;1.0
;;27;51.17965;2.1096497;2.2003517;2022-04-15 01:25:05.398433951;2022-04-15 02:25:05.398433951;2022-04-15 02:55:05.398433951;2022-04-15 03:55:05.398433951;2022-04-15 02:56:00;0.00048276858;0.0;-0.00048276858;0.0;0.00034136892634959256;-1.0;0.0;-0.00048276858;-1.0;0.00034136892634959256;0.7071067641353003;1.0
